district,name,contact,image,party
1,Kenneth P. LaValle,http://www.nysenate.gov/senators/kenneth-p-lavalle/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/lavalle.jpg?itok=lqlJF1U-,R
2,John J. Flanagan,http://www.nysenate.gov/senators/john-j-flanagan/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/square.2015.senator%20flanagan%20headshot.jpg?itok=GU6jEu3I,"R, C, IP"
3,Thomas D. Croci,http://www.nysenate.gov/senators/thomas-d-croci/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-17-14%29%20Croci-030.jpg?itok=IETjEztE,R
4,Phil Boyle,http://www.nysenate.gov/senators/phil-boyle/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/1366x1020-Boyle_0.jpg?itok=KDrU2fzr,R
5,Carl L Marcellino,http://www.nysenate.gov/senators/carl-l-marcellino/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-30-07%29%20Marcellion-HS-29-Ret.jpg?itok=IUcSLb_j,"R, C, IP"
6,Kemp Hannon,http://www.nysenate.gov/senators/kemp-hannon/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/061912_albany_session568-1.jpg?itok=QExmsg1x,"R, C, IP"
7,Elaine Phillips,http://www.nysenate.gov/senators/elaine-phillips/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/senator_elaine_phillips.jpg?itok=HFnLPcEc,R
8,John E. Brooks,http://www.nysenate.gov/senators/john-e-brooks/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/6ffe26e4aa4b5d1c18dd89018aaf6297.jpg?itok=Rr1Li075,D
9,Todd Kaminsky,http://www.nysenate.gov/senators/todd-kaminsky/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/tk-newheadshot.jpg?itok=Egd8bOpE,D
10,James Sanders Jr.,http://www.nysenate.gov/senators/james-sanders-jr/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2812-10-12%29%20Sanders-HS-010.jpg?itok=C6aFck7O,D
11,Tony Avella,http://www.nysenate.gov/senators/tony-avella/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/avella_picture.jpg?itok=0PKpAHkO,"D, IP"
12,Michael Gianaris,http://www.nysenate.gov/senators/michael-gianaris/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-05-11%29%20%20Gianaris-HS-020.jpg?itok=58PTMn0m,D
13,Jose Peralta,http://www.nysenate.gov/senators/jose-peralta/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/760x377-Peralta_1.jpg?itok=piruqTRQ,"D, WF"
14,Leroy Comrie,http://www.nysenate.gov/senators/leroy-comrie/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-12-15%29%20Comrie-HS-079.jpg?itok=jDSnGnNI,D
15,Joseph P. Addabbo Jr,http://www.nysenate.gov/senators/joseph-p-addabbo-jr/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2802-11-13%29%20Addabbo-HS-051_0.jpg?itok=1LPpTXH6,D
16,Toby Ann Stavisky,http://www.nysenate.gov/senators/toby-ann-stavisky/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2802-09-09%29%20Stavisky-HS-034-ret.jpg?itok=qAQeW4pv,D
17,Simcha Felder,http://www.nysenate.gov/senators/simcha-felder/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2812-11-12%29%20Felder-HS-012.jpg?itok=7Ko2HjHh,D
18,Martin Malavé Dilan,http://www.nysenate.gov/senators/martin-malave-dilan/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2805-16-12%29%20Dilan-HS-010.jpg?itok=CtAxmUJ7,D
19,Roxanne J. Persaud,http://www.nysenate.gov/senators/roxanne-j-persaud/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/11-30-15_persaud-hs-013_0.jpg?itok=hzTS8H5T,D
20,Jesse Hamilton,http://www.nysenate.gov/senators/jesse-hamilton/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-07-15%29%20Hamilton-HS-0025rt.jpg?itok=YcDm9FFN,D
21,Kevin S. Parker,http://www.nysenate.gov/senators/kevin-s-parker/contact,https://www.nysenate.gov/sites/default/files/styles/160x160/public/03-12-15_500-32-0013.jpg?itok=jeBg0LG2,"D, WF"
